time,q0,q1,q2,q3,q4,q5,q6,fx,fy,fz,tx,ty,tz
0.895986795425415,-0.225377,0.145985,0.076788,-0.141261,0.164485,0.164205,0.002645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9062831401824951,-0.229886,0.147469,0.077860,-0.143951,0.167634,0.167343,0.002644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9161911010742188,-0.234380,0.148948,0.078924,-0.146617,0.170755,0.170449,0.002642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9264106750488281,-0.240345,0.150912,0.080337,-0.150154,0.174896,0.174570,0.002639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9364056587219238,-0.246273,0.152863,0.081740,-0.153664,0.179008,0.178663,0.002637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.94638991355896,-0.252170,0.154803,0.083137,-0.157160,0.183103,0.182739,0.002635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9570634365081787,-0.255121,0.155773,0.083840,-0.158925,0.185169,0.184800,0.002635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9667048454284668,-0.261012,0.157711,0.085235,-0.162422,0.189266,0.188878,0.002633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9768455028533936,-0.266862,0.159635,0.086619,-0.165882,0.193322,0.192914,0.002631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9867854118347168,-0.272680,0.161548,0.087996,-0.169328,0.197361,0.196935,0.002629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.9967305660247803,-0.278471,0.163451,0.089367,-0.172760,0.201384,0.200940,0.002628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0069200992584229,-0.282818,0.164879,0.090400,-0.175353,0.204422,0.203969,0.002628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.016918659210205,-0.288592,0.166776,0.091766,-0.178772,0.208432,0.207959,0.002626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0270318984985352,-0.294329,0.168661,0.093123,-0.182165,0.212412,0.211921,0.002625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0374743938446045,-0.300063,0.170544,0.094483,-0.185573,0.216408,0.215902,0.002624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0473003387451172,-0.304358,0.171953,0.095502,-0.188127,0.219403,0.218887,0.002624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0575840473175049,-0.310055,0.173824,0.096848,-0.191494,0.223354,0.222819,0.002623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.06758713722229,-0.315712,0.175680,0.098185,-0.194835,0.227276,0.226723,0.002622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0777027606964111,-0.321337,0.177526,0.099515,-0.198162,0.231181,0.230611,0.002621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0879030227661133,-0.326937,0.179363,0.100840,-0.201476,0.235071,0.234485,0.002620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0977892875671387,-0.332538,0.181199,0.102167,-0.204804,0.238977,0.238377,0.002620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.107898235321045,-0.338103,0.183023,0.103482,-0.208091,0.242838,0.242220,0.002619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1177339553833008,-0.343665,0.184846,0.104800,-0.211392,0.246713,0.246081,0.002619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1280696392059326,-0.347831,0.186210,0.105787,-0.213866,0.249618,0.248977,0.002619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.138352870941162,-0.353356,0.188021,0.107091,-0.217127,0.253450,0.252790,0.002618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1481478214263916,-0.358867,0.189825,0.108395,-0.220391,0.257285,0.256610,0.002618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1582374572753906,-0.361619,0.190726,0.109048,-0.222026,0.259205,0.258525,0.002619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.168501377105713,-0.367102,0.192521,0.110342,-0.225263,0.263010,0.262312,0.002618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1784822940826416,-0.371183,0.193857,0.111305,-0.227668,0.265837,0.265127,0.002617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1884922981262207,-0.376605,0.195631,0.112585,-0.230870,0.269602,0.268877,0.002617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.1984219551086426,-0.379316,0.196517,0.113229,-0.232483,0.271497,0.270767,0.002617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2086610794067383,-0.384722,0.198286,0.114505,-0.235677,0.275253,0.274506,0.002617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.218646764755249,-0.390088,0.200040,0.115770,-0.238838,0.278971,0.278208,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2287743091583252,-0.395422,0.201784,0.117029,-0.241985,0.282673,0.281895,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2388999462127686,-0.399406,0.203086,0.117970,-0.244337,0.285441,0.284653,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2487294673919678,-0.404707,0.204818,0.119222,-0.247471,0.289128,0.288326,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2589073181152344,-0.409981,0.206541,0.120467,-0.250583,0.292790,0.291974,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.268862009048462,-0.415231,0.208255,0.121706,-0.253683,0.296438,0.295607,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2788569927215576,-0.420460,0.209962,0.122940,-0.256769,0.300071,0.299227,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.288914442062378,-0.425667,0.211661,0.124168,-0.259843,0.303690,0.302832,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2988717555999756,-0.430877,0.213360,0.125400,-0.262930,0.307324,0.306454,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.309178113937378,-0.436078,0.215056,0.126628,-0.266006,0.310945,0.310063,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3192226886749268,-0.441241,0.216740,0.127844,-0.269042,0.314523,0.313626,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3291354179382324,-0.446374,0.218413,0.129053,-0.272066,0.318086,0.317175,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3392651081085205,-0.450226,0.219667,0.129964,-0.274352,0.320777,0.319859,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3491921424865723,-0.455341,0.221334,0.131169,-0.277364,0.324327,0.323395,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.359581470489502,-0.460422,0.222989,0.132365,-0.280354,0.327852,0.326906,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.369724988937378,-0.465477,0.224634,0.133556,-0.283331,0.331362,0.330403,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3796682357788086,-0.470510,0.226272,0.134741,-0.286297,0.334858,0.333886,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3898048400878906,-0.475521,0.227902,0.135922,-0.289250,0.338340,0.337356,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3996472358703613,-0.480535,0.229533,0.137105,-0.292216,0.341837,0.340842,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4097790718078613,-0.485517,0.231152,0.138277,-0.295146,0.345293,0.344285,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.420121192932129,-0.490496,0.232770,0.139451,-0.298088,0.348763,0.347744,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4297935962677002,-0.494226,0.233982,0.140331,-0.300293,0.351364,0.350338,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.439979076385498,-0.499172,0.235589,0.141493,-0.303199,0.354794,0.353754,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4499194622039795,-0.504084,0.237184,0.142647,-0.306084,0.358199,0.357146,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4602084159851074,-0.508968,0.238769,0.143796,-0.308956,0.361590,0.360525,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4704153537750244,-0.513830,0.240347,0.144939,-0.311816,0.364967,0.363891,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4803006649017334,-0.518671,0.241917,0.146077,-0.314665,0.368331,0.367243,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4903764724731445,-0.523493,0.243481,0.147211,-0.317502,0.371682,0.370583,0.002615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5002994537353516,-0.528317,0.245044,0.148347,-0.320353,0.375047,0.373938,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5105526447296143,-0.531914,0.246210,0.149192,-0.322465,0.377543,0.376426,0.002616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
